Price,Beds,Baths,Sq ft,Street,City,Zip
2095.0,2,3,1546.0,3028 BREED DR,REYNOLDSBURG,43068
1550.0,2,1,2240.0,2815 SHERWOOD RD # B,COLUMBUS,43209
2000.0,3,3,1360.0,3852 LONGTON DR,COLUMBUS,43221
1250.0,3,2,1253.0,124 BUCKEYE CIR,COLUMBUS,43217
1950.0,4,3,2240.0,5885 KATELYN LN,CANAL WINCHESTER,43110
3950.0,4,3,2718.0,7830 WALNUT ST,NEW ALBANY,43054
2550.0,2,2,1290.0,1145 N HIGH ST UNIT 204,COLUMBUS,43201
2250.0,4,2,1404.0,2731 CLIME RD,COLUMBUS,43223
1000.0,2,1,942.0,318 S BURGESS AVE,COLUMBUS,43204
2895.0,1,2,1120.0,199 S 5TH ST STE 602,COLUMBUS,43215
2500.0,3,3,1994.0,5168 VININGS BND,DUBLIN,43016
2650.0,4,3,1620.0,6069 WEXFORD PARK DR,COLUMBUS,43228
2580.0,4,3,2304.0,628 KELBURN LN,PICKERINGTON,43147
1950.0,2,2,1507.0,1772 RIDGECLIFF RD,UPPER ARLINGTON,43221
2395.0,4,3,1900.0,4709 GRAND STRAND DR,GROVE CITY,43123
1950.0,3,3,2086.0,5451 BENTONHURST CT,GALLOWAY,43119
2500.0,2,1,2258.0,44 E PRESCOTT ST,COLUMBUS,43215
2080.0,4,2,1562.0,1332 COLE ST,COLUMBUS,43205
1600.0,3,2,1446.0,1630 MANCHESTER AVE,COLUMBUS,43211
1305.0,1,1,21612.0,5220 RIGGINS RUN,COLUMBUS,43216
1459.0,1,1,58572.0,401 W RICH ST,COLUMBUS,43215
1295.0,1,1,600.0,23 W FRANKFORT ST,COLUMBUS,43206
2750.0,3,2,1560.0,117 E LIVINGSTON AVE,COLUMBUS,43215
2095.0,3,3,1800.0,3208 KINGSWOOD DR,GROVE CITY,43123
1129.0,1,1,95759.0,5400 ASHERTON BLVD,DUBLIN,43017
2499.0,4,3,2050.0,4466 EDGARTON DR,GROVE CITY,43123
2195.0,3,2,1692.0,4476 EDGARTON DR,GROVE CITY,43123
3000.0,2,2,1660.0,5285 HIGHPOINTE LAKES DR UNIT 402,COLUMBUS,43081
1025.0,2,1,1457.0,924 S HARRIS AVE # 926,COLUMBUS,43204
1399.0,1,1,653.0,150 E MAIN ST APT 407,COLUMBUS,43215
2100.0,3,2,1213.0,8731 ARROWTIP LN,LEWIS CENTER,43035
1795.0,3,2,1329.0,3735 GAIRLOCK DR,COLUMBUS,43228
3200.0,2,2,1024.0,6640 MOONEY ST # 302,DUBLIN,43017
4200.0,3,2,1456.0,6640 MOONEY ST # 208,DUBLIN,43017
1450.0,3,1,1500.0,5366 ADDERLEY AVE,COLUMBUS,43232
1500.0,3,1,2236.0,668 S 22ND ST,COLUMBUS,43205
1325.0,2,1,1350.0,846 OAK ST,COLUMBUS,43205
2403.0,3,3,1980.0,7206 CALUSA DR,REYNOLDSBURG,43068
1100.0,3,1,2580.0,60 W PARK AVE,COLUMBUS,43222
2500.0,4,3,2126.0,225 WHITETAIL TRL,JOHNSTOWN,43031
1745.0,3,1,1535.0,1549 HOPKINS AVE,COLUMBUS,43223
1690.0,4,2,1387.0,1619 BOSTWICK RD,COLUMBUS,43227
2750.0,2,2,2916.0,608 CITY PARK AVE,COLUMBUS,43206
2400.0,4,3,2407.0,11834 KENNINGTON SQ E,PICKERINGTON,43147
1750.0,2,3,1720.0,1363 EASTWICK WAY,PICKERINGTON,43147
3495.0,4,4,2054.0,5970 BIG CYPRESS DR,NEW ALBANY,43054
1100.0,2,1,1152.0,1479 E 23RD AVE,COLUMBUS,43211
2150.0,5,2,1798.0,492 WYANDOTTE AVE,COLUMBUS,43202
1550.0,4,3,2000.0,1476 INDIANOLA AVE,COLUMBUS,43201
2795.0,2,2,1256.0,649 HIGH ST UNIT 302,WORTHINGTON,43085
1945.0,3,3,1868.0,1971 ARDEN FOREST LN,COLUMBUS,43223
2300.0,3,3,1660.0,7133 WINTERBEK AVE,NEW ALBANY,43054
3150.0,4,4,2870.0,2663 CHARING RD # C,COLUMBUS,43221
1300.0,2,1,1219.0,476 SOUTHWOOD AVE,COLUMBUS,43207
1900.0,4,2,1374.0,1559 ORSON DR,COLUMBUS,43207
4800.0,4,3,3598.0,6424 GREENSTONE LOOP,DUBLIN,43016
5500.0,4,5,3263.0,7535 BELLAIRE AVE,DUBLIN,43017
2250.0,3,3,1828.0,3322 BEAGLE BLVD,COLUMBUS,43232
2950.0,2,2,1275.0,367 AUDEN AVE APT 307,COLUMBUS,43215
2600.0,2,2,1499.0,448 W NATIONWIDE BLVD APT 220,COLUMBUS,43215
1995.0,2,2,1698.0,106 N HIGH ST APT 302,COLUMBUS,43215
2995.0,4,3,2497.0,4514 COMMONS PARK DR,NEW ALBANY,43054
2095.0,4,2,2054.0,1637 S JAMES RD,COLUMBUS,43227
2995.0,3,3,2047.0,1339 LA ROCHELLE DR # 34-B,COLUMBUS,43221
2250.0,2,3,1552.0,1852 FISHINGER RD # 3,UPPER ARLINGTON,43221
1585.0,1,1,776.0,463 N HIGH ST APT 5A,COLUMBUS,43215
750.0,1,1,700.0,1039 REPUBLIC AVE,COLUMBUS,43211
1100.0,2,2,1260.0,2273 HUGHEY DR,REYNOLDSBURG,43068
2000.0,4,1,1288.0,6547 NEW ALBANY CONDIT RD,NEW ALBANY,43054
2540.0,4,2,1935.0,6099 BEECHCROFT RD,COLUMBUS,43229
1745.0,2,2,1382.0,8616 RENAA AVE,GALLOWAY,43119
4500.0,5,3,3374.0,3864 CRISWELL DR,COLUMBUS,43220
2800.0,3,3,2430.0,299 W 5TH AVE,COLUMBUS,43201
2100.0,3,1,1500.0,289 S CYPRESS AVE,COLUMBUS,43223
2800.0,2,2,1172.0,1145 N HIGH ST UNIT 309,COLUMBUS,43201
1950.0,3,2,1520.0,966 STUDER AVE,COLUMBUS,43206
2000.0,5,4,1910.0,343 E 12TH AVE,COLUMBUS,43201
2450.0,4,4,1502.0,414 E OAKLAND AVE # 14,COLUMBUS,43202
850.0,2,1,1584.0,3015 PONTIAC ST # A,COLUMBUS,43224
1625.0,3,2,1253.0,3902 BOYER RIDGE DR,CANAL WINCHESTER,43110
2610.0,4,3,2340.0,7861 OLDHAM DR,REYNOLDSBURG,43068
2020.0,1,1,1232.0,44 N HIGH ST UNIT 3A,COLUMBUS,43215
1588.0,2,2,1650.0,61 E GAY ST,COLUMBUS,43215
1600.0,3,2,1390.0,4900 KRESGE DR,COLUMBUS,43232
6300.0,9,3,1792.0,130 E NORTHWOOD AVE,COLUMBUS,43201
4050.0,6,2,3229.0,140 E 11TH AVE,COLUMBUS,43201
643.0,7,2,1932.0,2143 INDIANA AVE,COLUMBUS,43201
816.0,8,3,2191.0,328 E 17TH AVE,COLUMBUS,43201
4815.0,9,2,2540.0,88 W NORTHWOOD AVE,COLUMBUS,43201
825.0,7,3,3692.0,92 E FRAMBES AVE,COLUMBUS,43201
1675.0,2,1,990.0,767 N HIGH ST # R-201,COLUMBUS,43215
2590.0,3,2,1969.0,1431 CARYLAKE CIR,COLUMBUS,43240
1635.0,2,2,832.0,2227 TEARDROP AVE # 35D,COLUMBUS,43235
1750.0,3,3,1714.0,4331 SESTOS DR,COLUMBUS,43207
1900.0,2,2,1158.0,196 S GRANT AVE APT 306,COLUMBUS,43215
2995.0,3,3,2267.0,383 KING AVE,COLUMBUS,43201
1450.0,2,1,2288.0,293 E WHITTIER ST,COLUMBUS,43206
825.0,2,1,950.0,3632 CUSHING DR APT C,COLUMBUS,43227
2500.0,3,4,1204.0,272 S 22ND ST,COLUMBUS,43205
850.0,2,1,4860.0,1414 E COLUMBUS ST APT C,COLUMBUS,43206
4400.0,4,4,3164.0,8862 GOLDEN LEAF CT,PICKERINGTON,43147
5400.0,2,3,2486.0,300 W SPRING ST UNIT 503,COLUMBUS,43215
4300.0,2,1,974.0,4522 HICKORY CHASE WAY # UNIT,HILLIARD,43026
4300.0,2,2,968.0,4522 HICKORY CHASE WAY # UNIT,HILLIARD,43026
1750.0,1,1,761.0,65 S WASHINGTON AVE UNIT 311,COLUMBUS,43215
3150.0,2,3,1772.0,65 S WASHINGTON AVE UNIT 109,COLUMBUS,43215
1967.0,2,3,1361.0,710 ZUMSTEIN LN,WESTERVILLE,43082
3300.0,4,3,2328.0,1616 TRENTWOOD RD,COLUMBUS,43221
2260.0,1,1,1245.0,44 N HIGH ST UNIT 3B,COLUMBUS,43215
3500.0,3,2,1219.0,161 SHULL AVE,COLUMBUS,43230
2000.0,1,1,692.0,448 W NATIONWIDE BLVD APT 404,COLUMBUS,43215
